keyword,category,score,hint
music,overall,2,音楽のリズムがあなたの直感を整える
study,work,3,集中力が高まり学びが実りやすい
code,work,3,コードの積み重ねが成果へつながる
design,work,2,見た目と使いやすさの両立が成功の鍵
love,love,3,やさしい一言が恋愛運を押し上げる
family,love,2,家族との会話が心の安定につながる
friend,love,2,友だちとの交流が良縁を引き寄せる
travel,overall,2,景色を変える行動が運気の切り替えになる
game,overall,1,遊び心が新しいアイデアを呼び込む
book,work,2,読書から得た知識がチャンスを広げる
coffee,overall,1,一息つく時間が判断力を回復させる
cat,love,1,やわらかな気持ちが人間関係を和らげる
dog,love,1,素直な姿勢が信頼を育てる
fitness,overall,2,体を動かすほど運の流れが活発になる
art,overall,2,創作活動がひらめきを強化する
写真,overall,1,思い出を残す行動がポジティブな気分を呼ぶ
勉強,work,3,努力が結果として返ってきやすい日
仕事,work,3,段取りを整えるほど評価が上がる
開発,work,3,丁寧な実装が大きな前進につながる
恋, love,3,気持ちを言葉にすると好転しやすい
友情,love,2,仲間を大事にすると運気が安定する
旅,overall,2,小さな外出が新しい運を連れてくる
読書,work,2,知識の吸収が成果を後押しする
運動,overall,2,体調管理がチャンスの受け皿になる
空,overall,1,上を向く習慣が前向きさを育てる
